"id","type","value","min_au_thick","max_au_thick","min_finger_count","max_finger_count"
"__export__.pcb_fee_finger_1_73","金手指费",2.38,16,21,0,5
"__export__.pcb_fee_finger_1_74","金手指费",2.77,16,21,6,10
"__export__.pcb_fee_finger_1_75","金手指费",3.32,16,21,11,15
"__export__.pcb_fee_finger_1_76","金手指费",4.16,16,21,16,20
"__export__.pcb_fee_finger_1_77","金手指费",4.9,16,21,21,40
"__export__.pcb_fee_finger_1_78","金手指费",5.62,16,21,41,60
"__export__.pcb_fee_finger_1_79","金手指费",6.36,16,21,61,80
"__export__.pcb_fee_finger_1_80","金手指费",7.11,16,21,81,100
"__export__.pcb_fee_finger_1_81","金手指费",7.87,16,21,101,120
"__export__.pcb_fee_finger_1_82","金手指费",8.99,16,21,121,140
"__export__.pcb_fee_finger_1_83","金手指费",10.32,16,21,141,160
"__export__.pcb_fee_finger_1_84","金手指费",11.6,16,21,161,180
"__export__.pcb_fee_finger_1_85","金手指费",12.9,16,21,181,200
"__export__.pcb_fee_finger_1_86","金手指费",14.21,16,21,210,220
"__export__.pcb_fee_finger_1_87","金手指费",15.5,16,21,221,240
"__export__.pcb_fee_finger_1_88","金手指费",16.8,16,21,241,260
"__export__.pcb_fee_finger_1_89","金手指费",18.1,16,21,261,280
"__export__.pcb_fee_finger_1_90","金手指费",19.41,16,21,281,300
"__export__.pcb_fee_finger_1_91","金手指费",2.91,21,26,0,5
"__export__.pcb_fee_finger_1_92","金手指费",3.42,21,26,6,10
"__export__.pcb_fee_finger_1_93","金手指费",4.1,21,26,11,15
"__export__.pcb_fee_finger_1_94","金手指费",5.14,21,26,16,20
"__export__.pcb_fee_finger_1_95","金手指费",5.95,21,26,21,40
"__export__.pcb_fee_finger_1_96","金手指费",6.98,21,26,41,60
"__export__.pcb_fee_finger_1_97","金手指费",7.91,21,26,61,80
"__export__.pcb_fee_finger_1_98","金手指费",8.88,21,26,81,100
"__export__.pcb_fee_finger_1_99","金手指费",9.81,21,26,101,120
"__export__.pcb_fee_finger_1_100","金手指费",11.12,21,26,121,140
"__export__.pcb_fee_finger_1_101","金手指费",12.74,21,26,141,160
"__export__.pcb_fee_finger_1_102","金手指费",14.38,21,26,161,180
"__export__.pcb_fee_finger_1_103","金手指费",16,21,26,181,200
"__export__.pcb_fee_finger_1_104","金手指费",17.63,21,26,210,220
"__export__.pcb_fee_finger_1_105","金手指费",19.25,21,26,221,240
"__export__.pcb_fee_finger_1_106","金手指费",20.87,21,26,241,260
"__export__.pcb_fee_finger_1_107","金手指费",22.49,21,26,261,280
"__export__.pcb_fee_finger_1_108","金手指费",23.6,21,26,281,300
"__export__.pcb_fee_finger_1_109","金手指费",3.26,26,31,0,5
"__export__.pcb_fee_finger_1_110","金手指费",3.82,26,31,6,10
"__export__.pcb_fee_finger_1_111","金手指费",4.57,26,31,11,15
"__export__.pcb_fee_finger_1_112","金手指费",5.6,26,31,16,20
"__export__.pcb_fee_finger_1_113","金手指费",6.85,26,31,21,40
"__export__.pcb_fee_finger_1_114","金手指费",8.26,26,31,41,60
"__export__.pcb_fee_finger_1_115","金手指费",9.53,26,31,61,80
"__export__.pcb_fee_finger_1_116","金手指费",10.76,26,31,81,100
"__export__.pcb_fee_finger_1_117","金手指费",12,26,31,101,120
"__export__.pcb_fee_finger_1_118","金手指费",13.88,26,31,121,140
"__export__.pcb_fee_finger_1_119","金手指费",15.91,26,31,141,160
"__export__.pcb_fee_finger_1_120","金手指费",17.97,26,31,161,180
"__export__.pcb_fee_finger_1_121","金手指费",20.02,26,31,181,200
"__export__.pcb_fee_finger_1_122","金手指费",22.08,26,31,210,220
"__export__.pcb_fee_finger_1_123","金手指费",21.11,26,31,221,240
"__export__.pcb_fee_finger_1_124","金手指费",26.16,26,31,241,260
"__export__.pcb_fee_finger_1_125","金手指费",27.61,26,31,261,280
"__export__.pcb_fee_finger_1_126","金手指费",29.62,26,31,281,300
"__export__.pcb_fee_finger_1_127","金手指费",3.95,31,36,0,5
"__export__.pcb_fee_finger_1_128","金手指费",4.61,31,36,6,10
"__export__.pcb_fee_finger_1_129","金手指费",5.41,31,36,11,15
"__export__.pcb_fee_finger_1_130","金手指费",6.77,31,36,16,20
"__export__.pcb_fee_finger_1_131","金手指费",8.21,31,36,21,40
"__export__.pcb_fee_finger_1_132","金手指费",9.89,31,36,41,60
"__export__.pcb_fee_finger_1_133","金手指费",11.37,31,36,61,80
"__export__.pcb_fee_finger_1_134","金手指费",13.07,31,36,81,100
"__export__.pcb_fee_finger_1_135","金手指费",14.63,31,36,101,120
"__export__.pcb_fee_finger_1_136","金手指费",17.11,31,36,121,140
"__export__.pcb_fee_finger_1_137","金手指费",19.55,31,36,141,160
"__export__.pcb_fee_finger_1_138","金手指费",22.03,31,36,161,180
"__export__.pcb_fee_finger_1_139","金手指费",24.53,31,36,181,200
"__export__.pcb_fee_finger_1_140","金手指费",27.01,31,36,210,220
"__export__.pcb_fee_finger_1_141","金手指费",29.48,31,36,221,240
"__export__.pcb_fee_finger_1_142","金手指费",31.3,31,36,241,260
"__export__.pcb_fee_finger_1_143","金手指费",33.73,31,36,261,280
"__export__.pcb_fee_finger_1_144","金手指费",36.18,31,36,281,300
"__export__.pcb_fee_finger_1_145","金手指费",4.62,36,41,0,5
"__export__.pcb_fee_finger_1_146","金手指费",5.28,36,41,6,10
"__export__.pcb_fee_finger_1_147","金手指费",6.33,36,41,11,15
"__export__.pcb_fee_finger_1_148","金手指费",7.92,36,41,16,20
"__export__.pcb_fee_finger_1_149","金手指费",9.58,36,41,21,40
"__export__.pcb_fee_finger_1_150","金手指费",11.48,36,41,41,60
"__export__.pcb_fee_finger_1_151","金手指费",13.17,36,41,61,80
"__export__.pcb_fee_finger_1_152","金手指费",15.32,36,41,81,100
"__export__.pcb_fee_finger_1_153","金手指费",17.2,36,41,101,120
