"id","value","is_htg","type","layer_count","min_db_thick","max_db_thick","eval_code"
"__export__.pcb_boad_thick_72",0.16,1,"板厚费",6,3.25,3.5,
"__export__.pcb_boad_thick_73",0.195,1,"板厚费",6,3.5,3.75,
"__export__.pcb_boad_thick_74",0.22,1,"板厚费",6,3.75,4,
"__export__.pcb_boad_thick_75",0.01,1,"板厚费",8,0,1,
"__export__.pcb_boad_thick_76",0.02,1,"板厚费",8,1,1.6,
"__export__.pcb_boad_thick_77",0.03,1,"板厚费",8,1.6,2,
"__export__.pcb_boad_thick_78",0.04,1,"板厚费",8,2,2.25,
"__export__.pcb_boad_thick_79",0.4,1,"板厚费",8,2.25,2.5,
"__export__.pcb_boad_thick_80",0.075,1,"板厚费",8,2.5,2.75,
"__export__.pcb_boad_thick_81",0.1,1,"板厚费",8,2.75,3,
"__export__.pcb_boad_thick_82",0.135,1,"板厚费",8,3,3.25,
"__export__.pcb_boad_thick_83",0.16,1,"板厚费",8,3.25,3.5,
"__export__.pcb_boad_thick_84",0.195,1,"板厚费",8,3.5,3.75,
"__export__.pcb_boad_thick_85",0.22,1,"板厚费",8,3.75,4,
"__export__.pcb_boad_thick_86",0.01,1,"板厚费",10,0,1,
"__export__.pcb_boad_thick_87",0.02,1,"板厚费",10,1,1.6,
"__export__.pcb_boad_thick_88",0.03,1,"板厚费",10,1.6,2,
"__export__.pcb_boad_thick_89",0.04,1,"板厚费",10,2,2.25,
"__export__.pcb_boad_thick_90",0.04,1,"板厚费",10,2.25,2.5,
"__export__.pcb_boad_thick_91",0.05,1,"板厚费",10,2.5,2.75,
"__export__.pcb_boad_thick_92",0.05,1,"板厚费",10,2.75,3,
"__export__.pcb_boad_thick_93",0.085,1,"板厚费",10,3,3.25,
"__export__.pcb_boad_thick_94",0.11,1,"板厚费",10,3.25,3.5,
"__export__.pcb_boad_thick_95",0.145,1,"板厚费",10,3.5,3.75,
"__export__.pcb_boad_thick_96",0.17,1,"板厚费",10,3.75,4,
