"id","name","code"
"mtlcs_all.acceptance_standard_001","IPC-A-600(II)","ipc600_2"
"mtlcs_all.acceptance_standard_002","IPC-A-600(III)","ipc600_3"
"mtlcs_all.acceptance_standard_003","GJB362B","gjb362b"
"mtlcs_all.acceptance_standard_004","客户","customer"
"mtlcs_all.acceptance_standard_005","其他","other"
